repetition,Temp ,PPFD,gs,medlyn
1,10,600,0.229125924,0.023418742
1,10,400,0.23871008,0.024553484
1,10,300,0.250019521,0.023858691
1,10,200,0.230627844,0.020156895
1,10,150,0.220333591,0.01719794
1,10,125,0.175655552,0.014794222
1,10,100,0.146954584,0.011190047
1,10,75,0.108634702,0.008535457
1,10,50,0.067021096,0.005706471
1,10,25,0.040883433,0.002748802
1,10,0,0.027756055,-0.000624844
2,10,600,0.246066104,0.014457059
2,10,400,0.205812041,0.013634013
2,10,300,0.18341971,0.012642296
2,10,200,0.161957589,0.010969247
2,10,150,0.143246716,0.010088134
2,10,125,0.122362392,0.009582408
2,10,100,0.087522654,0.008732635
2,10,75,0.073468383,0.007401936
2,10,50,0.052003377,0.005359328
2,10,25,0.034649554,0.002410655
2,10,0,0.021679664,-0.000652269
3,10,600,0.246066104,0.014457059
3,10,400,0.205812041,0.013634013
3,10,300,0.18341971,0.012642296
3,10,200,0.161957589,0.010969247
3,10,150,0.143246716,0.010088134
3,10,125,0.122362392,0.009582408
3,10,100,0.087522654,0.008732635
3,10,75,0.073468383,0.007401936
3,10,50,0.052003377,0.005359328
3,10,25,0.034649554,0.002410655
3,10,0,0.021679664,-0.000652269
4,10,600,0.170486252,0.017221961
4,10,400,0.170445482,0.015547794
4,10,300,0.167438012,0.014220154
4,10,200,0.160857798,0.011635449
4,10,150,0.145916202,0.009631838
4,10,125,0.128594351,0.00784919
4,10,100,0.113272507,0.006113507
4,10,75,0.101034047,0.004759525
4,10,50,0.091484041,0.003002199
4,10,25,0.083676049,0.001214664
4,10,0,0.077452342,-0.00082172
1,15,600,0.186766581,0.020143674
1,15,400,0.180963867,0.019834848
1,15,300,0.154604291,0.018566942
1,15,200,0.118227684,0.016358375
1,15,150,0.099950102,0.014237386
1,15,125,0.095979042,0.013102623
1,15,100,0.0963546,0.011212027
1,15,75,0.095793356,0.008723469
1,15,50,0.089083501,0.00567856
1,15,25,0.07896118,0.002656861
2,15,0,0.070548429,-0.000988867
2,15,600,0.273425822,0.026956002
2,15,400,0.27661223,0.024730385
2,15,300,0.266788351,0.022568398
2,15,200,0.245615783,0.018378555
2,15,150,0.219688496,0.014950445
2,15,125,0.192326096,0.012803566
2,15,100,0.167738055,0.010706707
2,15,75,0.14926247,0.007790929
2,15,50,0.134457226,0.005038498
2,15,25,0.118786395,0.001927119
2,15,0,0.09785972,-0.001597309
3,15,600,0.205738157,0.022175578
3,15,400,0.203654836,0.020180031
3,15,300,0.189737782,0.018637721
3,15,200,0.156248534,0.015413409
3,15,150,0.131525899,0.012810506
3,15,125,0.104107623,0.010882619
3,15,100,0.085125475,0.008935586
3,15,75,0.066120868,0.006678529
3,15,50,0.044131909,0.004264047
3,15,25,0.026451476,0.001770368
3,15,0,0.016898134,-0.001010167
1,20,600,0.240289812,0.029591908
1,20,400,0.254317958,0.028015729
1,20,300,0.264981003,0.024769208
1,20,200,0.236985441,0.018815435
1,20,150,0.196250124,0.014890135
1,20,125,0.17959661,0.012807796
1,20,100,0.165835443,0.010718389
1,20,75,0.130308683,0.008096034
1,20,50,0.082771262,0.00495237
1,20,25,0.044989861,0.001961627
1,20,0,0.021089674,-0.001355315
2,20,600,0.376945464,0.040931892
2,20,400,0.410977384,0.03758884
2,20,300,0.383540116,0.03350906
2,20,200,0.338619768,0.025867194
2,20,150,0.318359891,0.020215868
2,20,125,0.310071496,0.017129364
2,20,100,0.286816385,0.013803459
2,20,75,0.201438689,0.009747525
2,20,50,0.087214973,0.005757203
2,20,25,0.033842417,0.00230389
2,20,0,0.01514705,-0.001394221
3,20,600,0.261453195,0.02979318
3,20,400,0.278229648,0.027656774
3,20,300,0.275659076,0.025227459
3,20,200,0.262829762,0.020752246
3,20,150,0.249022324,0.016884666
3,20,125,0.240313797,0.014318221
3,20,100,0.229404986,0.011558797
3,20,75,0.20519411,0.008301633
3,20,50,0.14385025,0.0051874
3,20,25,0.061204766,0.001867293
3,20,0,0.022792191,-0.001151461
1,30,600,0.38274406,0.027542813
1,30,400,0.385773343,0.022960773
1,30,300,0.370230556,0.019269827
1,30,200,0.339606921,0.013718834
1,30,150,0.323517901,0.010188376
1,30,125,0.313828776,0.008464376
1,30,100,0.281245528,0.006288088
1,30,75,0.225552884,0.004131736
1,30,50,0.18843312,0.002133604
1,30,25,0.167740348,-0.000232866
1,30,0,0.124995163,-0.002728052
2,30,600,0.197903508,0.021346384
2,30,400,0.196940362,0.016232195
2,30,300,0.202278619,0.012735086
2,30,200,0.199774398,0.00821577
2,30,150,0.198796185,0.005774766
2,30,125,0.196601192,0.004540117
2,30,100,0.198010631,0.003255279
2,30,75,0.196473429,0.001934639
2,30,50,0.192911582,0.000659684
2,30,25,0.182411576,-0.000990052
2,30,0,0.167128733,0.021445648
3,30,600,0.197903508,0.021445648
3,30,400,0.186940362,0.016487176
3,30,300,0.162278619,0.012783802
3,30,200,0.149774398,0.008311352
3,30,150,0.128796185,0.005819364
3,30,125,0.116601192,0.004575448
3,30,100,0.100801063,0.00328057
3,30,75,0.096473429,0.001934639
3,30,50,0.062911582,0.000664817
3,30,25,0.058241158,-0.000997727
3,30,0,0.067128733,-0.002683289